ts_utc,pm25,pm10,no2,o3,so2,co,aod,dust,uv_index,co2,aqi,aqi_pm25,aqi_pm10,aqi_no2,aqi_o3,aqi_so2,aqi_co,location_key
2025-12-19 00:00:00+00:00,51.0,51.3,15.0,12.0,4.4,593.0,0.75,0.0,0.1,551,131,131,44,7,12,2,7,yenbai_yenbaicity
2025-12-19 00:00:00+00:00,68.9,68.9,21.3,56.0,27.3,502.0,0.33,0.0,0.15,510,115,115,38,10,34,15,5,backan_backancity
2025-12-19 00:00:00+00:00,25.8,28.6,8.7,53.0,3.0,261.0,0.22,0.0,0.4,466,53,53,15,4,29,2,2,baclieu_baclieucity
2025-12-19 00:00:00+00:00,115.7,116.9,53.1,14.0,50.4,991.0,0.32,0.0,0.15,534,156,156,56,26,16,27,8,bacninh_bacninhcity
2025-12-19 00:00:00+00:00,47.4,49.5,40.2,24.0,35.0,423.0,0.33,0.0,0.4,491,94,94,31,20,18,19,3,bentre_bentrecity
2025-12-19 00:00:00+00:00,5.3,6.7,3.2,81.0,2.0,238.0,0.16,0.0,0.35,449,38,29,8,2,38,1,2,binhdinh_quynhon
2025-12-19 00:00:00+00:00,38.2,39.8,46.7,17.0,27.4,370.0,0.26,0.0,0.45,468,91,91,30,23,8,15,3,binhduong_thudaumot
2025-12-19 00:00:00+00:00,5.0,5.2,4.3,56.0,2.5,201.0,0.11,0.0,0.45,453,25,25,6,2,25,1,2,binhphuoc_dongxoai
2025-12-19 00:00:00+00:00,22.5,23.2,14.7,40.0,11.7,341.0,0.16,0.0,0.4,462,111,111,38,7,8,6,5,angiang_longxuyen
2025-12-19 00:00:00+00:00,12.1,13.6,8.9,49.0,2.8,447.0,0.13,0.0,0.55,527,42,42,12,4,23,2,3,binhthuan_phanthiet
2025-12-19 00:00:00+00:00,50.1,50.2,18.1,49.0,15.1,492.0,0.39,0.0,0.15,479,88,88,27,9,29,8,4,caobang_caobangcity
2025-12-19 00:00:00+00:00,4.4,4.6,4.6,72.0,4.0,255.0,0.12,0.0,0.35,452,32,23,6,2,32,2,2,daklak_buonmathuot
2025-12-19 00:00:00+00:00,4.2,4.5,3.5,64.0,1.9,195.0,0.11,0.0,0.4,448,28,19,5,2,28,1,2,daknong_gianghia
2025-12-19 00:00:00+00:00,19.6,20.0,3.5,41.0,1.2,377.0,0.2,1.0,0.05,507,56,56,14,2,13,1,4,dienbien_dienbienphu
